"样品名称"	"处理 方法"	"保留 时间"	"% 面积"	"面积"
"20251231混标"	"处理方法280 nm"	2.485	0.72	267423
"20251231混标"	"处理方法280 nm"	2.603	1.13	415770
"20251231混标"	"处理方法280 nm"	2.781	0.61	223484
"20251231混标"	"处理方法280 nm"	2.954	1.59	585896
"20251231混标"	"处理方法280 nm"	3.966	1.98	729571
"20251231混标"	"处理方法280 nm"	4.228	0.52	191586
"20251231混标"	"处理方法280 nm"	4.454	0.52	192995
"20251231混标"	"处理方法280 nm"	4.716	0.19	71097
"20251231混标"	"处理方法280 nm"	5.034	0.17	62633
"20251231混标"	"处理方法280 nm"	5.394	0.36	133075
"20251231混标"	"处理方法280 nm"	5.592	1.67	615073
"20251231混标"	"处理方法280 nm"	6.201	0.36	131781
"20251231混标"	"处理方法280 nm"	6.410	0.41	150339
"20251231混标"	"处理方法280 nm"	6.769	0.56	206581
"20251231混标"	"处理方法280 nm"	7.108	0.36	131993
"20251231混标"	"处理方法280 nm"	7.314	0.30	110564
"20251231混标"	"处理方法280 nm"	7.844	0.73	270205
"20251231混标"	"处理方法280 nm"	8.149	0.40	146770
"20251231混标"	"处理方法280 nm"	8.395	0.29	108669
"20251231混标"	"处理方法280 nm"	8.652	1.34	495554
"20251231混标"	"处理方法280 nm"	9.130	34.87	12863218
"20251231混标"	"处理方法280 nm"	9.652	6.96	2568183
"20251231混标"	"处理方法280 nm"	10.173	0.41	151869
"20251231混标"	"处理方法280 nm"	10.439	0.43	157829
"20251231混标"	"处理方法280 nm"	10.810	1.68	620686
"20251231混标"	"处理方法280 nm"	11.126	0.46	170459
"20251231混标"	"处理方法280 nm"	11.282	0.96	353004
"20251231混标"	"处理方法280 nm"	11.462	0.50	185171
"20251231混标"	"处理方法280 nm"	11.747	0.22	81508
"20251231混标"	"处理方法280 nm"	12.100	5.05	1861987
"20251231混标"	"处理方法280 nm"	12.378	0.87	320289
"20251231混标"	"处理方法280 nm"	12.641	0.37	138326
"20251231混标"	"处理方法280 nm"	12.804	0.52	191139
"20251231混标"	"处理方法280 nm"	13.185	1.56	576194
"20251231混标"	"处理方法280 nm"	13.566	1.08	396554
"20251231混标"	"处理方法280 nm"	13.745	2.38	879437
"20251231混标"	"处理方法280 nm"	14.129	0.22	80917
"20251231混标"	"处理方法280 nm"	14.488	0.16	57609
"20251231混标"	"处理方法280 nm"	14.807	0.11	38749
"20251231混标"	"处理方法280 nm"	15.003	0.09	33947
"20251231混标"	"处理方法280 nm"	15.360	0.71	263571
"20251231混标"	"处理方法280 nm"	15.576	0.63	230925
"20251231混标"	"处理方法280 nm"	15.919	0.31	112631
"20251231混标"	"处理方法280 nm"	16.211	0.13	47721
"20251231混标"	"处理方法280 nm"	16.583	2.31	850910
"20251231混标"	"处理方法280 nm"	16.800	0.80	296205
"20251231混标"	"处理方法280 nm"	17.087	0.15	55012
"20251231混标"	"处理方法280 nm"	17.505	0.29	108400
"20251231混标"	"处理方法280 nm"	17.783	0.30	110579
"20251231混标"	"处理方法280 nm"	17.937	0.17	63967
"20251231混标"	"处理方法280 nm"	18.080	0.27	97966
"20251231混标"	"处理方法280 nm"	18.451	0.21	76936
"20251231混标"	"处理方法280 nm"	18.734	0.16	59380
"20251231混标"	"处理方法280 nm"	18.922	0.41	149684
"20251231混标"	"处理方法280 nm"	19.236	0.43	157107
"20251231混标"	"处理方法280 nm"	19.400	0.06	23584
"20251231混标"	"处理方法280 nm"	19.668	1.80	663626
"20251231混标"	"处理方法280 nm"	19.975	0.11	41307
"20251231混标"	"处理方法280 nm"	20.302	0.42	154896
"20251231混标"	"处理方法280 nm"	20.656	0.07	26451
"20251231混标"	"处理方法280 nm"	20.876	0.20	74064
"20251231混标"	"处理方法280 nm"	21.123	0.11	40536
"20251231混标"	"处理方法280 nm"	21.533	0.13	46498
"20251231混标"	"处理方法280 nm"	21.882	0.03	9261
"20251231混标"	"处理方法280 nm"	22.632	0.03	10331
"20251231混标"	"处理方法280 nm"	23.188	0.03	9610
"20251231混标"	"处理方法280 nm"	23.657	0.05	16774
"20251231混标"	"处理方法280 nm"	24.069	0.05	18033
"20251231混标"	"处理方法280 nm"	24.422	0.04	14214
"20251231混标"	"处理方法280 nm"	24.932	0.18	67785
"20251231混标"	"处理方法280 nm"	25.266	0.57	210882
"20251231混标"	"处理方法280 nm"	25.830	0.12	42514
"20251231混标"	"处理方法280 nm"	26.318	0.43	157252
"20251231混标"	"处理方法280 nm"	26.694	0.29	107693
"20251231混标"	"处理方法280 nm"	27.327	0.86	316021
"20251231混标"	"处理方法280 nm"	27.649	0.16	59846
"20251231混标"	"处理方法280 nm"	27.844	0.22	79919
"20251231混标"	"处理方法280 nm"	28.287	0.48	177143
"20251231混标"	"处理方法280 nm"	28.670	0.21	78983
"20251231混标"	"处理方法280 nm"	28.984	0.32	117381
"20251231混标"	"处理方法280 nm"	29.431	0.22	80740
"20251231混标"	"处理方法280 nm"	29.818	2.80	1031550
"20251231混标"	"处理方法280 nm"	30.264	0.42	156355
"20251231混标"	"处理方法280 nm"	30.471	0.16	57415
"20251231混标"	"处理方法280 nm"	30.845	2.13	784554
"20251231混标"	"处理方法280 nm"	31.630	0.44	161340
"20251231混标"	"处理方法280 nm"	31.871	0.45	165905
"20251231混标"	"处理方法280 nm"	32.204	0.44	160469
"20251231混标"	"处理方法280 nm"	32.379	0.82	301270
"20251231混标"	"处理方法280 nm"	32.589	0.70	257464
"20251231混标"	"处理方法280 nm"	32.798	0.25	90843
"20251231混标"	"处理方法280 nm"	33.111	0.71	261731
"20251231混标"	"处理方法280 nm"	33.493	1.10	404989
"20251231混标"	"处理方法280 nm"	33.986	1.03	378653
"20251231混标"	"处理方法280 nm"	34.577	0.31	112763
"20251231混标"	"处理方法280 nm"	34.775	0.22	81553
"20251231混标"	"处理方法280 nm"	35.015	0.17	64199
"20251231混标"	"处理方法280 nm"	35.271	0.33	122845
